method,stage,seed,rmse,rank,observation_rmse,noise_sd,initial_rmse,after_setup_rmse,fit_seconds,uncontended_timing
plugin,cgb,30,0.17349430918693542,5,1.2392529249191284,1.2510048151016235,0.26416149735450745,0.26416149735450745,26.870508100022562,False
plugin,cold,1,0.08901218324899673,4,1.2480220794677734,1.2513362169265747,0.2683359682559967,0.2683359682559967,16.161346000095364,True
plugin,cold,2,0.08378633111715317,4,1.246177315711975,1.2486660480499268,0.26214534044265747,0.26214534044265747,17.28495249999105,False
plugin,cold,3,0.08404704928398132,4,1.2440366744995117,1.2471927404403687,0.2645868957042694,0.2645868957042694,23.893375200103037,False
plugin,cold,4,0.084096759557724,4,1.2469695806503296,1.250225305557251,0.26429933309555054,0.26429933309555054,16.632298100041226,False
plugin,cold,5,0.08076495677232742,4,1.2516183853149414,1.25456702709198,0.2651256024837494,0.2651256024837494,16.979042799852323,False
plugin,cold,6,0.08695350587368011,4,1.2476879358291626,1.2506177425384521,0.26342204213142395,0.26342204213142395,21.506164300022647,False
plugin,cold,7,0.08065677434206009,4,1.2450847625732422,1.2480835914611816,0.2626330554485321,0.2626330554485321,17.288749800034566,False
plugin,cold,8,0.08413736522197723,4,1.2470335960388184,1.2502124309539795,0.26430651545524597,0.26430651545524597,19.378021400043508,False
plugin,cold,9,0.08597192168235779,4,1.2467719316482544,1.2498606443405151,0.2639633119106293,0.2639633119106293,29.774182500201277,False
plugin,cold,10,0.08816665410995483,4,1.2468540668487549,1.2497515678405762,0.264779269695282,0.264779269695282,19.192655900027603,False
plugin,cold,11,0.0852319672703743,4,1.2418725490570068,1.2445769309997559,0.26008543372154236,0.26008543372154236,18.27650239993818,False
plugin,cold,12,0.08521535247564316,4,1.2488757371902466,1.2513914108276367,0.26267358660697937,0.26267358660697937,28.911985800019465,False
plugin,cold,13,0.09444619715213776,4,1.247634768486023,1.2512962818145752,0.26279523968696594,0.26279523968696594,19.18483590008691,False
plugin,cold,14,0.09743887931108475,4,1.239724040031433,1.2440215349197388,0.2629595696926117,0.2629595696926117,28.554775500088,False
plugin,cold,15,0.08130805939435959,4,1.2440634965896606,1.247484803199768,0.2645880877971649,0.2645880877971649,30.33407029992668,False
plugin,cold,16,0.08163395524024963,4,1.2471704483032227,1.2502306699752808,0.263805627822876,0.263805627822876,24.945620699989377,False
plugin,cold,17,0.08401074260473251,4,1.2478629350662231,1.2507745027542114,0.26444387435913086,0.26444387435913086,24.289513800060377,False
plugin,cold,18,0.08599703758955002,4,1.249010443687439,1.251847743988037,0.2635715901851654,0.2635715901851654,36.83353050003643,False
plugin,cold,19,0.08315829932689667,4,1.2476955652236938,1.2508546113967896,0.2646348476409912,0.2646348476409912,23.976732099923538,False
plugin,cold,20,0.08476594090461731,4,1.2456303834915161,1.2486693859100342,0.26416584849357605,0.26416584849357605,30.494460399873788,False
plugin,cold,21,0.0846535935997963,4,1.247571349143982,1.2506049871444702,0.2635412812232971,0.2635412812232971,38.47739869993529,False
