method,stage,seed,sweep,seconds,rank,signal_rmse,observation_rmse,noise_sd,loading_variance,elbo,expected_log_likelihood,kl_loading,kl_feature,row_regularization,column_regularization,penalized_elbo,package_negative_elbo,package_score_discrepancy,min_loading_kl,min_feature_kl,current_covariates_match_fitted,fit_seconds,uncontended_timing,final_network_state_entries
mean,cold,16,30,18.646267699892633,4,0.0816604271531105,1.2471803426742554,1.2502394914627075,0.012365934439003468,-332220.4874065987,-328454.73581968463,1759.3638305664062,2006.3877563476562,-725.7409997767331,-64.11838817596436,-333010.3467945514,332220.5,0.012593401304911822,160.56927490234375,402.6232604980469,True,18.646267699892633,False,70644
mean,cold,17,30,18.52490310004214,4,0.08364575356245041,1.2478846311569214,1.250784158706665,0.011669103056192398,-332299.86633167416,-328541.8376451507,1756.09814453125,2001.9305419921875,-712.9854189980506,-66.54871273040771,-333079.4004634026,332299.875,0.00866832584142685,132.9183349609375,387.1861572265625,True,18.52490310004214,False,70644
mean,cold,18,30,18.88227659993572,4,0.08599358797073364,1.2489959001541138,1.2518483400344849,0.008859271183609962,-332404.97581356333,-328711.9370867567,1714.0965270996094,1978.9421997070312,-706.1219342645635,-61.536566734313965,-333172.6343145622,332404.96875,-0.007063563331030309,122.42184448242188,390.2174072265625,True,18.88227659993572,False,70644
mean,cold,19,30,18.983579799940344,4,0.08315829932689667,1.2476955652236938,1.2508546113967896,0.012546287849545479,-332354.41746918793,-328553.11165253754,1776.0905456542969,2025.2152709960938,-722.5539282516781,-63.56758499145508,-333140.53898243106,332354.4375,0.020030812069308013,155.80032348632812,409.2457275390625,True,18.983579799940344,False,70644
mean,cold,20,30,19.694499600096606,4,0.08491924405097961,1.2456650733947754,1.248681664466858,0.01181828323751688,-331978.20363436313,-328205.3679104862,1774.4817199707031,1998.35400390625,-709.7685794856549,-60.17805767059326,-332748.1502715194,331978.21875,0.015115636866539717,137.86245727539062,380.8155212402344,True,19.694499600096606,False,70644
mean,cold,21,30,19.757577300042612,4,0.0847276970744133,1.2475652694702148,1.2506004571914673,0.009502132423222065,-332328.835564799,-328512.4786006877,1778.0599365234375,2038.2970275878906,-717.8821796207001,-63.124467849731445,-333109.84221226943,332328.84375,0.00818520097527653,155.5172119140625,406.3486022949219,True,19.757577300042612,False,70644
mean,cold,22,30,19.638667700026417,4,0.08382762968540192,1.2461538314819336,1.249508261680603,0.012664565816521645,-332234.95519670506,-328337.72308000585,1826.6681518554688,2070.56396484375,-726.3930957406457,-66.0341968536377,-333027.38248929934,332234.9375,-0.017696705064736307,170.06671142578125,407.8765869140625,True,19.638667700026417,False,70644
mean,cold,23,30,19.082586299889954,4,0.082729771733284,1.245185375213623,1.2484711408615112,0.012742039747536182,-332038.2180445199,-328171.6373865609,1818.6700439453125,2047.9106140136719,-711.6539716761355,-64.72043418884277,-332814.59245038487,332038.21875,0.0007054801099002361,213.3875732421875,414.58587646484375,True,19.082586299889954,False,70644
mean,cold,24,30,19.331684100063285,4,0.08316273242235184,1.2463918924331665,1.2492233514785767,0.01251273788511753,-332085.84528833936,-328292.1090212495,1758.758544921875,2034.9777221679688,-708.5227431378763,-65.02113819122314,-332859.3891696685,332085.875,0.029711660637985915,113.02459716796875,402.74603271484375,True,19.331684100063285,False,70644
mean,cold,25,30,19.24706900003366,4,0.07916978001594543,1.248223066329956,1.2511128187179565,0.011360300704836845,-332307.014506566,-328594.37897800154,1746.9948120117188,1965.6407165527344,-714.7727141298915,-59.377623558044434,-333081.1648442539,332307.0,-0.014506565988995135,154.1915283203125,392.70562744140625,True,19.24706900003366,False,70644
mean,cold,26,30,19.577870600041933,4,0.08439135551452637,1.2456008195877075,1.2484160661697388,0.008175240829586983,-331854.50313642074,-328162.84085919906,1714.5425567626953,1977.1197204589844,-714.6646025459661,-63.41399097442627,-332632.5817299411,331854.5,-0.0031364207388833165,95.29725646972656,389.49322509765625,True,19.577870600041933,False,70644
mean,cold,27,30,19.768161199928727,4,0.08293722569942474,1.2458339929580688,1.2489864826202393,0.012710344977676868,-332048.6284226902,-328254.1902513035,1796.74853515625,1997.6896362304688,-698.427080876396,-62.2341890335083,-332809.2896926001,332048.625,-0.003422690206207335,165.98992919921875,371.04254150390625,True,19.768161199928727,False,70644
mean,cold,28,30,19.33248689994798,4,0.08186779916286469,1.2450200319290161,1.2475910186767578,0.006012320052832365,-331708.764669191,-328030.6067102066,1695.8245849609375,1982.3333740234375,-725.7086355319107,-57.20441246032715,-332491.6777171832,331708.75,-0.01466919097583741,114.13189697265625,415.0975341796875,True,19.33248689994798,False,70644
mean,cold,29,30,19.476197899901308,4,0.08430943638086319,1.2473728656768799,1.2500609159469604,0.005656315479427576,-332110.51679213915,-328426.18195327197,1707.2745971679688,1977.0602416992188,-727.4048516285409,-63.73792362213135,-332901.6595673898,332110.53125,0.014457860845141113,118.3436279296875,389.35638427734375,True,19.476197899901308,False,70644
mean,cold,30,30,17.080333299963968,4,0.08366718143224716,1.24699866771698,1.2502704858779907,0.01079169474542141,-332296.05973699444,-328459.69016912335,1815.0305480957031,2021.3390197753906,-721.5853072146895,-65.84665870666504,-333083.4917029158,332296.0625,0.0027630055556073785,143.42620849609375,408.81488037109375,True,17.080333299963968,False,70644
mean,warm,1,20,31.50536039992585,4,0.08190251886844635,1.249987006187439,1.2523839473724365,0.0001820580946514383,-332322.8081457661,-328797.48270631296,1535.0944213867188,1990.2310180664062,-460.655662486099,-59.86722469329834,-332843.3310329455,332322.8125,0.004354233911726624,49.779052734375,393.0390930175781,True,31.50536039992585,True,17652
